ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002181	GO:0002181	cytoplasmic translation	150/706	186/5607	2.23571963341308e-105	3.31557221635159e-102	3.04528547961739e-102	YBL027W/YBL072C/YBL087C/YBL092W/YBR031W/YBR048W/YBR079C/YBR084C-A/YBR143C/YBR181C/YBR191W/YCR031C/YDL061C/YDL075W/YDL081C/YDL082W/YDL083C/YDL130W/YDL133C-A/YDL136W/YDL184C/YDL191W/YDL229W/YDR012W/YDR025W/YDR064W/YDR382W/YDR418W/YDR447C/YDR450W/YDR471W/YDR500C/YEL054C/YER025W/YER056C-A/YER074W/YER102W/YER117W/YER131W/YFL034C-A/YFR031C-A/YFR032C-A/YGL030W/YGL031C/YGL076C/YGL103W/YGL135W/YGL147C/YGL189C/YGR027C/YGR034W/YGR085C/YGR148C/YGR162W/YGR214W/YHL001W/YHL015W/YHL033C/YHR010W/YHR021C/YHR064C/YHR141C/YHR203C/YIL018W/YIL052C/YIL069C/YIL133C/YIL148W/YJL136C/YJL138C/YJL177W/YJL189W/YJL190C/YJL191W/YJR094W-A/YJR123W/YJR145C/YKL006W/YKL056C/YKL156W/YKL180W/YKR057W/YKR059W/YKR094C/YLL045C/YLR029C/YLR048W/YLR061W/YLR075W/YLR167W/YLR185W/YLR212C/YLR262C-A/YLR264W/YLR287C-A/YLR325C/YLR333C/YLR340W/YLR344W/YLR367W/YLR388W/YLR406C/YLR441C/YLR448W/YML024W/YML026C/YML063W/YML073C/YMR142C/YMR143W/YMR146C/YMR194W/YMR230W/YMR242C/YMR260C/YNL067W/YNL069C/YNL096C/YNL162W/YNL175C/YNL178W/YNL209W/YNL255C/YNL301C/YNL302C/YOL039W/YOL040C/YOL120C/YOL121C/YOL127W/YOL139C/YOR096W/YOR167C/YOR182C/YOR234C/YOR293W/YOR312C/YOR361C/YOR369C/YPL079W/YPL090C/YPL131W/YPL143W/YPL198W/YPL220W/YPL237W/YPL249C-A/YPR043W/YPR102C/YPR163C	150
GO:0042254	GO:0042254	ribosome biogenesis	196/706	397/5607	2.66185224750676e-79	1.97376344152627e-76	1.81286147803882e-76	YAL033W/YAL059W/YBL004W/YBL018C/YBL072C/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YCR087C-A/YDL014W/YDL031W/YDL060W/YDL083C/YDL136W/YDL148C/YDL153C/YDL191W/YDL208W/YDL213C/YDL229W/YDR025W/YDR060W/YDR064W/YDR083W/YDR087C/YDR091C/YDR101C/YDR161W/YDR361C/YDR412W/YDR418W/YDR447C/YDR450W/YDR500C/YEL026W/YEL054C/YEL055C/YER006W/YER056C-A/YER074W/YER102W/YER131W/YFR001W/YGL029W/YGL030W/YGL031C/YGL076C/YGL078C/YGL099W/YGL120C/YGL123W/YGL135W/YGL171W/YGL189C/YGR034W/YGR085C/YGR103W/YGR118W/YGR128C/YGR145W/YGR148C/YGR158C/YGR162W/YGR214W/YGR245C/YGR251W/YGR280C/YGR285C/YHL001W/YHL015W/YHL033C/YHR021C/YHR062C/YHR064C/YHR072W-A/YHR081W/YHR088W/YHR089C/YHR170W/YHR197W/YIL019W/YIL052C/YIL069C/YIL096C/YIL148W/YIR026C/YJL010C/YJL033W/YJL050W/YJL109C/YJL136C/YJL148W/YJL177W/YJL191W/YJR041C/YJR063W/YJR123W/YKL006W/YKL014C/YKL078W/YKL099C/YKL143W/YKL156W/YKL172W/YKL180W/YKR057W/YKR081C/YKR094C/YLL008W/YLL034C/YLL045C/YLR002C/YLR048W/YLR075W/YLR106C/YLR129W/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR221C/YLR264W/YLR276C/YLR293C/YLR340W/YLR344W/YLR409C/YLR441C/YLR448W/YML024W/YML026C/YML063W/YML073C/YML093W/YMR049C/YMR128W/YMR143W/YMR229C/YMR230W/YMR290C/YNL002C/YNL061W/YNL075W/YNL096C/YNL132W/YNL178W/YNL209W/YNL248C/YNL302C/YNL308C/YNR054C/YOL022C/YOL040C/YOL077C/YOL121C/YOL127W/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR167C/YOR206W/YOR224C/YOR234C/YOR243C/YOR272W/YOR293W/YOR310C/YOR340C/YOR341W/YPL012W/YPL043W/YPL082C/YPL090C/YPL126W/YPL131W/YPL143W/YPL198W/YPL211W/YPL217C/YPL220W/YPL266W/YPR010C/YPR016C/YPR102C/YPR110C/YPR112C/YPR132W/YPR187W	196
GO:0022613	GO:0022613	ribonucleoprotein complex biogenesis	208/706	483/5607	7.18784957487904e-71	3.55319363984854e-68	3.26353591224333e-68	YAL033W/YAL059W/YBL004W/YBL018C/YBL072C/YBR048W/YBR079C/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YCR087C-A/YDL014W/YDL031W/YDL060W/YDL083C/YDL136W/YDL148C/YDL153C/YDL191W/YDL208W/YDL213C/YDL229W/YDR025W/YDR060W/YDR064W/YDR083W/YDR087C/YDR091C/YDR101C/YDR161W/YDR361C/YDR412W/YDR418W/YDR447C/YDR450W/YDR500C/YEL026W/YEL054C/YEL055C/YER006W/YER025W/YER056C-A/YER074W/YER102W/YER131W/YFR001W/YGL029W/YGL030W/YGL031C/YGL076C/YGL078C/YGL099W/YGL120C/YGL123W/YGL135W/YGL171W/YGL189C/YGR034W/YGR085C/YGR103W/YGR118W/YGR128C/YGR145W/YGR148C/YGR158C/YGR162W/YGR214W/YGR245C/YGR251W/YGR280C/YGR285C/YHL001W/YHL015W/YHL033C/YHR021C/YHR062C/YHR064C/YHR072W-A/YHR081W/YHR088W/YHR089C/YHR170W/YHR197W/YIL019W/YIL052C/YIL069C/YIL096C/YIL148W/YIR026C/YJL010C/YJL033W/YJL050W/YJL109C/YJL136C/YJL138C/YJL148W/YJL177W/YJL191W/YJR041C/YJR063W/YJR123W/YKL006W/YKL014C/YKL078W/YKL099C/YKL143W/YKL156W/YKL172W/YKL180W/YKR057W/YKR059W/YKR081C/YKR094C/YLL008W/YLL034C/YLL045C/YLR002C/YLR048W/YLR075W/YLR106C/YLR129W/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR221C/YLR264W/YLR276C/YLR293C/YLR325C/YLR340W/YLR344W/YLR409C/YLR441C/YLR448W/YML024W/YML026C/YML063W/YML073C/YML093W/YMR049C/YMR128W/YMR143W/YMR146C/YMR229C/YMR230W/YMR260C/YMR290C/YNL002C/YNL061W/YNL075W/YNL096C/YNL132W/YNL175C/YNL178W/YNL209W/YNL248C/YNL302C/YNL308C/YNR054C/YOL022C/YOL040C/YOL077C/YOL121C/YOL127W/YOL139C/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR167C/YOR206W/YOR224C/YOR234C/YOR243C/YOR272W/YOR293W/YOR310C/YOR340C/YOR341W/YOR361C/YPL012W/YPL043W/YPL082C/YPL090C/YPL126W/YPL131W/YPL143W/YPL198W/YPL211W/YPL217C/YPL220W/YPL237W/YPL266W/YPR010C/YPR016C/YPR102C/YPR110C/YPR112C/YPR132W/YPR163C/YPR187W	208
GO:0006412	GO:0006412	translation	194/706	494/5607	1.51444427990365e-57	5.61480216774277e-55	5.15708131104031e-55	YBL024W/YBL027W/YBL032W/YBL072C/YBL076C/YBL087C/YBL092W/YBR031W/YBR048W/YBR079C/YBR084C-A/YBR121C/YBR143C/YBR181C/YBR189W/YBR191W/YCR031C/YCR059C/YDL061C/YDL075W/YDL081C/YDL082W/YDL083C/YDL130W/YDL133C-A/YDL136W/YDL184C/YDL191W/YDL229W/YDR012W/YDR023W/YDR025W/YDR037W/YDR064W/YDR091C/YDR341C/YDR382W/YDR385W/YDR418W/YDR447C/YDR450W/YDR471W/YDR500C/YEL054C/YER025W/YER049W/YER056C-A/YER074W/YER102W/YER117W/YER131W/YFL022C/YFL034C-A/YFR001W/YFR031C-A/YFR032C-A/YGL030W/YGL031C/YGL076C/YGL103W/YGL123W/YGL135W/YGL147C/YGL189C/YGL195W/YGL245W/YGR027C/YGR034W/YGR085C/YGR094W/YGR118W/YGR148C/YGR158C/YGR162W/YGR214W/YGR264C/YGR285C/YHL001W/YHL015W/YHL033C/YHR010W/YHR019C/YHR020W/YHR021C/YHR064C/YHR141C/YHR203C/YIL018W/YIL052C/YIL069C/YIL078W/YIL133C/YIL148W/YJL050W/YJL136C/YJL138C/YJL177W/YJL189W/YJL190C/YJL191W/YJR047C/YJR094W-A/YJR123W/YJR145C/YKL006W/YKL056C/YKL081W/YKL156W/YKL180W/YKR057W/YKR059W/YKR094C/YLL045C/YLR029C/YLR048W/YLR061W/YLR075W/YLR150W/YLR167W/YLR185W/YLR212C/YLR249W/YLR262C-A/YLR264W/YLR287C-A/YLR325C/YLR333C/YLR340W/YLR344W/YLR367W/YLR388W/YLR406C/YLR441C/YLR448W/YML024W/YML026C/YML063W/YML073C/YMR116C/YMR142C/YMR143W/YMR146C/YMR194W/YMR230W/YMR242C/YMR260C/YNL067W/YNL069C/YNL096C/YNL162W/YNL175C/YNL178W/YNL209W/YNL247W/YNL255C/YNL301C/YNL302C/YOL039W/YOL040C/YOL097C/YOL120C/YOL121C/YOL127W/YOL139C/YOR001W/YOR051C/YOR063W/YOR096W/YOR133W/YOR167C/YOR182C/YOR234C/YOR276W/YOR293W/YOR312C/YOR335C/YOR361C/YOR369C/YPL079W/YPL090C/YPL131W/YPL143W/YPL160W/YPL198W/YPL220W/YPL237W/YPL249C-A/YPR016C/YPR033C/YPR043W/YPR080W/YPR102C/YPR132W/YPR163C	194
GO:0006364	GO:0006364	rRNA processing	142/706	283/5607	3.42076279271156e-57	1.01459824431825e-54	9.31887800793424e-55	YAL033W/YBL004W/YBL018C/YBL072C/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YCR087C-A/YDL014W/YDL031W/YDL060W/YDL083C/YDL136W/YDL148C/YDL153C/YDL191W/YDL208W/YDL213C/YDL229W/YDR025W/YDR064W/YDR083W/YDR087C/YDR091C/YDR412W/YDR450W/YDR500C/YEL026W/YEL055C/YER006W/YER074W/YER102W/YER131W/YFR001W/YGL029W/YGL030W/YGL076C/YGL078C/YGL120C/YGL123W/YGL135W/YGL171W/YGL189C/YGR103W/YGR118W/YGR128C/YGR145W/YGR158C/YGR214W/YGR251W/YGR280C/YGR285C/YHL015W/YHL033C/YHR021C/YHR062C/YHR064C/YHR072W-A/YHR081W/YHR088W/YHR089C/YHR197W/YIL019W/YIL069C/YIL096C/YJL010C/YJL033W/YJL050W/YJL109C/YJL136C/YJL177W/YJL191W/YJR041C/YKL014C/YKL078W/YKL099C/YKL156W/YKL172W/YKL180W/YKR057W/YKR081C/YLL008W/YLL045C/YLR002C/YLR048W/YLR106C/YLR129W/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR264W/YLR276C/YLR293C/YLR409C/YLR441C/YML026C/YML063W/YML093W/YMR049C/YMR128W/YMR143W/YMR229C/YMR290C/YNL002C/YNL061W/YNL075W/YNL096C/YNL132W/YNL209W/YNL308C/YNR054C/YOL022C/YOL077C/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR167C/YOR243C/YOR272W/YOR310C/YPL012W/YPL043W/YPL082C/YPL090C/YPL126W/YPL198W/YPL211W/YPL217C/YPL220W/YPL266W/YPR016C/YPR112C/YPR132W	142
GO:0043043	GO:0043043	peptide biosynthetic process	194/706	498/5607	7.22696812978687e-57	1.78626562274565e-54	1.64064855437618e-54	YBL024W/YBL027W/YBL032W/YBL072C/YBL076C/YBL087C/YBL092W/YBR031W/YBR048W/YBR079C/YBR084C-A/YBR121C/YBR143C/YBR181C/YBR189W/YBR191W/YCR031C/YCR059C/YDL061C/YDL075W/YDL081C/YDL082W/YDL083C/YDL130W/YDL133C-A/YDL136W/YDL184C/YDL191W/YDL229W/YDR012W/YDR023W/YDR025W/YDR037W/YDR064W/YDR091C/YDR341C/YDR382W/YDR385W/YDR418W/YDR447C/YDR450W/YDR471W/YDR500C/YEL054C/YER025W/YER049W/YER056C-A/YER074W/YER102W/YER117W/YER131W/YFL022C/YFL034C-A/YFR001W/YFR031C-A/YFR032C-A/YGL030W/YGL031C/YGL076C/YGL103W/YGL123W/YGL135W/YGL147C/YGL189C/YGL195W/YGL245W/YGR027C/YGR034W/YGR085C/YGR094W/YGR118W/YGR148C/YGR158C/YGR162W/YGR214W/YGR264C/YGR285C/YHL001W/YHL015W/YHL033C/YHR010W/YHR019C/YHR020W/YHR021C/YHR064C/YHR141C/YHR203C/YIL018W/YIL052C/YIL069C/YIL078W/YIL133C/YIL148W/YJL050W/YJL136C/YJL138C/YJL177W/YJL189W/YJL190C/YJL191W/YJR047C/YJR094W-A/YJR123W/YJR145C/YKL006W/YKL056C/YKL081W/YKL156W/YKL180W/YKR057W/YKR059W/YKR094C/YLL045C/YLR029C/YLR048W/YLR061W/YLR075W/YLR150W/YLR167W/YLR185W/YLR212C/YLR249W/YLR262C-A/YLR264W/YLR287C-A/YLR325C/YLR333C/YLR340W/YLR344W/YLR367W/YLR388W/YLR406C/YLR441C/YLR448W/YML024W/YML026C/YML063W/YML073C/YMR116C/YMR142C/YMR143W/YMR146C/YMR194W/YMR230W/YMR242C/YMR260C/YNL067W/YNL069C/YNL096C/YNL162W/YNL175C/YNL178W/YNL209W/YNL247W/YNL255C/YNL301C/YNL302C/YOL039W/YOL040C/YOL097C/YOL120C/YOL121C/YOL127W/YOL139C/YOR001W/YOR051C/YOR063W/YOR096W/YOR133W/YOR167C/YOR182C/YOR234C/YOR276W/YOR293W/YOR312C/YOR335C/YOR361C/YOR369C/YPL079W/YPL090C/YPL131W/YPL143W/YPL160W/YPL198W/YPL220W/YPL237W/YPL249C-A/YPR016C/YPR033C/YPR043W/YPR080W/YPR102C/YPR132W/YPR163C	194
GO:0016072	GO:0016072	rRNA metabolic process	150/706	334/5607	1.67283671677877e-52	3.54402407283273e-50	3.25511385189733e-50	YAL033W/YBL004W/YBL018C/YBL072C/YBR010W/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YCR087C-A/YDL014W/YDL031W/YDL060W/YDL083C/YDL136W/YDL148C/YDL153C/YDL191W/YDL208W/YDL213C/YDL229W/YDR025W/YDR064W/YDR083W/YDR087C/YDR091C/YDR412W/YDR450W/YDR500C/YEL026W/YEL055C/YER006W/YER074W/YER102W/YER131W/YFR001W/YGL029W/YGL030W/YGL076C/YGL078C/YGL120C/YGL123W/YGL135W/YGL171W/YGL189C/YGR103W/YGR118W/YGR128C/YGR145W/YGR158C/YGR214W/YGR251W/YGR280C/YGR285C/YHL015W/YHL033C/YHR021C/YHR062C/YHR064C/YHR072W-A/YHR081W/YHR088W/YHR089C/YHR197W/YIL019W/YIL069C/YIL096C/YJL010C/YJL033W/YJL050W/YJL109C/YJL136C/YJL148W/YJL177W/YJL191W/YJR041C/YJR063W/YKL014C/YKL078W/YKL099C/YKL156W/YKL172W/YKL180W/YKR057W/YKR081C/YLL008W/YLL045C/YLR002C/YLR048W/YLR106C/YLR129W/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR264W/YLR276C/YLR293C/YLR409C/YLR441C/YML026C/YML063W/YML093W/YMR049C/YMR128W/YMR143W/YMR229C/YMR290C/YNL002C/YNL061W/YNL075W/YNL096C/YNL132W/YNL209W/YNL248C/YNL308C/YNR054C/YOL022C/YOL077C/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR167C/YOR243C/YOR272W/YOR295W/YOR310C/YOR340C/YOR341W/YPL012W/YPL043W/YPL082C/YPL090C/YPL126W/YPL198W/YPL211W/YPL217C/YPL220W/YPL266W/YPR010C/YPR016C/YPR112C/YPR132W	150
GO:0034470	GO:0034470	ncRNA processing	161/706	401/5607	1.84480256654061e-48	3.41980275772465e-46	3.14101910671519e-46	YAL033W/YBL004W/YBL018C/YBL024W/YBL072C/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YCR087C-A/YDL014W/YDL031W/YDL051W/YDL060W/YDL083C/YDL112W/YDL136W/YDL148C/YDL153C/YDL191W/YDL201W/YDL208W/YDL213C/YDL229W/YDR025W/YDR064W/YDR083W/YDR087C/YDR091C/YDR120C/YDR165W/YDR412W/YDR450W/YDR500C/YEL026W/YEL055C/YER006W/YER074W/YER102W/YER131W/YFR001W/YGL029W/YGL030W/YGL076C/YGL078C/YGL120C/YGL123W/YGL135W/YGL171W/YGL189C/YGR103W/YGR118W/YGR128C/YGR145W/YGR158C/YGR200C/YGR214W/YGR251W/YGR280C/YGR285C/YHL015W/YHL033C/YHR021C/YHR062C/YHR064C/YHR070W/YHR072W-A/YHR081W/YHR088W/YHR089C/YHR197W/YIL008W/YIL019W/YIL069C/YIL096C/YJL010C/YJL033W/YJL050W/YJL109C/YJL136C/YJL177W/YJL191W/YJR041C/YKL014C/YKL078W/YKL099C/YKL156W/YKL172W/YKL180W/YKR057W/YKR081C/YLL008W/YLL045C/YLR002C/YLR048W/YLR106C/YLR129W/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR264W/YLR276C/YLR293C/YLR384C/YLR409C/YLR441C/YML026C/YML063W/YML093W/YMR049C/YMR128W/YMR143W/YMR229C/YMR259C/YMR290C/YMR312W/YNL002C/YNL061W/YNL062C/YNL075W/YNL096C/YNL132W/YNL209W/YNL308C/YNR054C/YOL022C/YOL077C/YOL125W/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR167C/YOR226C/YOR243C/YOR272W/YOR310C/YOR335C/YPL012W/YPL043W/YPL082C/YPL086C/YPL090C/YPL126W/YPL183C/YPL198W/YPL207W/YPL211W/YPL217C/YPL220W/YPL266W/YPR016C/YPR112C/YPR132W	161
GO:0042274	GO:0042274	ribosomal small subunit biogenesis	82/706	143/5607	2.4621551058578e-38	4.05708446887458e-36	3.72634936488888e-36	YBL004W/YBL072C/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YDL060W/YDL083C/YDL148C/YDL153C/YDL213C/YDR025W/YDR064W/YDR447C/YDR450W/YEL026W/YER074W/YER102W/YFR001W/YGL120C/YGL171W/YGR103W/YGR118W/YGR128C/YGR145W/YGR214W/YGR251W/YHL015W/YHR021C/YIL019W/YIL069C/YJL010C/YJL109C/YJL136C/YJL191W/YJR123W/YKL078W/YKL099C/YKL143W/YKL156W/YKR057W/YLR048W/YLR129W/YLR167W/YLR186W/YLR264W/YLR409C/YLR441C/YML024W/YML026C/YML063W/YML093W/YMR128W/YMR143W/YMR229C/YMR230W/YMR290C/YNL075W/YNL096C/YNL132W/YNL302C/YNL308C/YNR054C/YOL022C/YOL040C/YOL121C/YOR004W/YOR056C/YOR096W/YOR167C/YOR293W/YOR310C/YPL012W/YPL090C/YPL126W/YPL217C/YPL266W/YPR112C/YPR132W	82
GO:0042273	GO:0042273	ribosomal large subunit biogenesis	74/706	127/5607	2.8685413919099e-35	4.25404688420238e-33	3.90725532750675e-33	YDL031W/YDL136W/YDL191W/YDL208W/YDR060W/YDR083W/YDR091C/YDR161W/YDR418W/YDR500C/YEL026W/YEL054C/YEL055C/YER006W/YER131W/YFR001W/YGL031C/YGL076C/YGL078C/YGL099W/YGL120C/YGL135W/YGL189C/YGR034W/YGR085C/YGR103W/YGR148C/YGR162W/YGR245C/YHL001W/YHL033C/YHR088W/YHR197W/YIL148W/YIR026C/YJL177W/YKL006W/YKL014C/YKL172W/YKL180W/YKR081C/YKR094C/YLL008W/YLL034C/YLL045C/YLR002C/YLR075W/YLR106C/YLR185W/YLR221C/YLR276C/YLR340W/YLR344W/YLR448W/YML073C/YMR049C/YMR229C/YMR290C/YNL002C/YNL061W/YOL077C/YOL127W/YOR063W/YOR206W/YOR234C/YOR272W/YPL043W/YPL131W/YPL143W/YPL198W/YPL211W/YPL220W/YPR016C/YPR102C	74
