ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002181	GO:0002181	cytoplasmic translation	152/1314	199/6424	9.37602089646957e-67	1.57892191896548e-63	1.39653363878994e-63	YAL005C/YBL027W/YBL072C/YBL087C/YBL092W/YBR031W/YBR048W/YBR079C/YBR084C-A/YBR143C/YBR181C/YBR191W/YCR031C/YDL061C/YDL075W/YDL081C/YDL082W/YDL083C/YDL130W/YDL133C-A/YDL136W/YDL184C/YDL191W/YDL229W/YDR012W/YDR025W/YDR064W/YDR382W/YDR418W/YDR447C/YDR450W/YDR471W/YDR500C/YEL054C/YER025W/YER056C-A/YER074W/YER102W/YER117W/YER131W/YFL034C-A/YFR031C-A/YFR032C-A/YGL030W/YGL031C/YGL076C/YGL103W/YGL135W/YGL147C/YGL189C/YGR027C/YGR034W/YGR085C/YGR148C/YGR162W/YGR214W/YHL001W/YHL015W/YHL033C/YHR010W/YHR021C/YHR064C/YHR141C/YHR203C/YIL018W/YIL052C/YIL069C/YIL133C/YIL148W/YJL136C/YJL138C/YJL177W/YJL189W/YJL190C/YJL191W/YJR094W-A/YJR123W/YJR145C/YKL006W/YKL056C/YKL156W/YKL180W/YKR057W/YKR059W/YKR094C/YLL045C/YLR029C/YLR048W/YLR061W/YLR075W/YLR167W/YLR185W/YLR212C/YLR262C-A/YLR264W/YLR287C-A/YLR325C/YLR333C/YLR340W/YLR344W/YLR367W/YLR388W/YLR406C/YLR441C/YLR448W/YML024W/YML026C/YML063W/YML073C/YMR142C/YMR143W/YMR146C/YMR194W/YMR230W/YMR242C/YMR260C/YNL067W/YNL069C/YNL096C/YNL162W/YNL175C/YNL178W/YNL209W/YNL255C/YNL301C/YNL302C/YOL039W/YOL040C/YOL120C/YOL121C/YOL127W/YOL139C/YOR096W/YOR167C/YOR182C/YOR234C/YOR293W/YOR312C/YOR361C/YOR369C/YPL079W/YPL090C/YPL119C/YPL131W/YPL143W/YPL198W/YPL220W/YPL237W/YPL249C-A/YPR043W/YPR102C/YPR163C	152
GO:0042254	GO:0042254	ribosome biogenesis	200/1314	475/6424	3.74111811236002e-29	3.15002145060714e-26	2.7861484889418e-26	YAL033W/YAL059W/YBL004W/YBL018C/YBL072C/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YCR087C-A/YDL014W/YDL031W/YDL060W/YDL083C/YDL136W/YDL148C/YDL153C/YDL191W/YDL208W/YDL213C/YDL229W/YDR025W/YDR060W/YDR064W/YDR083W/YDR087C/YDR091C/YDR101C/YDR161W/YDR361C/YDR412W/YDR418W/YDR447C/YDR450W/YDR500C/YEL026W/YEL054C/YEL055C/YER006W/YER056C-A/YER074W/YER102W/YER131W/YFR001W/YGL029W/YGL030W/YGL031C/YGL076C/YGL078C/YGL099W/YGL120C/YGL123W/YGL135W/YGL171W/YGL189C/YGR034W/YGR085C/YGR103W/YGR118W/YGR128C/YGR145W/YGR148C/YGR158C/YGR162W/YGR214W/YGR245C/YGR251W/YGR280C/YGR285C/YHL001W/YHL015W/YHL033C/YHR021C/YHR062C/YHR064C/YHR072W-A/YHR081W/YHR087W/YHR088W/YHR089C/YHR170W/YHR197W/YIL019W/YIL052C/YIL069C/YIL096C/YIL148W/YIR026C/YJL010C/YJL033W/YJL050W/YJL109C/YJL136C/YJL148W/YJL177W/YJL191W/YJR041C/YJR063W/YJR123W/YKL006W/YKL014C/YKL078W/YKL099C/YKL143W/YKL156W/YKL172W/YKL180W/YKR057W/YKR081C/YKR094C/YLL008W/YLL034C/YLL045C/YLL046C/YLR002C/YLR048W/YLR075W/YLR106C/YLR129W/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR221C/YLR264W/YLR276C/YLR293C/YLR340W/YLR344W/YLR387C/YLR409C/YLR441C/YLR448W/YML024W/YML026C/YML063W/YML073C/YML093W/YMR049C/YMR128W/YMR143W/YMR229C/YMR230W/YMR290C/YNL002C/YNL061W/YNL075W/YNL096C/YNL132W/YNL178W/YNL209W/YNL248C/YNL302C/YNL308C/YNR054C/YOL022C/YOL040C/YOL077C/YOL121C/YOL127W/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR167C/YOR185C/YOR206W/YOR224C/YOR234C/YOR243C/YOR272W/YOR293W/YOR310C/YOR340C/YOR341W/YPL012W/YPL043W/YPL082C/YPL090C/YPL126W/YPL131W/YPL143W/YPL198W/YPL211W/YPL217C/YPL220W/YPL266W/YPR010C/YPR016C/YPR102C/YPR110C/YPR112C/YPR132W/YPR187W	200
GO:0042273	GO:0042273	ribosomal large subunit biogenesis	75/1314	127/6424	7.84172865649107e-22	4.40182368584365e-19	3.89334949085434e-19	YDL031W/YDL136W/YDL191W/YDL208W/YDR060W/YDR083W/YDR091C/YDR161W/YDR418W/YDR500C/YEL026W/YEL054C/YEL055C/YER006W/YER131W/YFR001W/YGL031C/YGL076C/YGL078C/YGL099W/YGL120C/YGL135W/YGL189C/YGR034W/YGR085C/YGR103W/YGR148C/YGR162W/YGR245C/YHL001W/YHL033C/YHR088W/YHR197W/YIL148W/YIR026C/YJL177W/YKL006W/YKL014C/YKL172W/YKL180W/YKR081C/YKR094C/YLL008W/YLL034C/YLL045C/YLR002C/YLR075W/YLR106C/YLR185W/YLR221C/YLR276C/YLR340W/YLR344W/YLR387C/YLR448W/YML073C/YMR049C/YMR229C/YMR290C/YNL002C/YNL061W/YOL077C/YOL127W/YOR063W/YOR206W/YOR234C/YOR272W/YPL043W/YPL131W/YPL143W/YPL198W/YPL211W/YPL220W/YPR016C/YPR102C	75
GO:0042274	GO:0042274	ribosomal small subunit biogenesis	82/1314	148/6424	2.81922511150049e-21	1.18689377194171e-18	1.04979040336137e-18	YBL004W/YBL072C/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YDL060W/YDL083C/YDL148C/YDL153C/YDL213C/YDR025W/YDR064W/YDR447C/YDR450W/YEL026W/YER074W/YER102W/YFR001W/YGL120C/YGL171W/YGR103W/YGR118W/YGR128C/YGR145W/YGR214W/YGR251W/YHL015W/YHR021C/YIL019W/YIL069C/YJL010C/YJL109C/YJL136C/YJL191W/YJR123W/YKL078W/YKL099C/YKL143W/YKL156W/YKR057W/YLR048W/YLR129W/YLR167W/YLR186W/YLR264W/YLR409C/YLR441C/YML024W/YML026C/YML063W/YML093W/YMR128W/YMR143W/YMR229C/YMR230W/YMR290C/YNL075W/YNL096C/YNL132W/YNL302C/YNL308C/YNR054C/YOL022C/YOL040C/YOL121C/YOR004W/YOR056C/YOR096W/YOR167C/YOR293W/YOR310C/YPL012W/YPL090C/YPL126W/YPL217C/YPL266W/YPR112C/YPR132W	82
GO:0030490	GO:0030490	maturation of SSU-rRNA	68/1314	121/6424	2.81634330336129e-18	9.48544424572081e-16	8.38973847211836e-16	YBL004W/YBL072C/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YDL060W/YDL083C/YDL148C/YDL153C/YDR025W/YDR064W/YDR450W/YEL026W/YER074W/YER102W/YFR001W/YGL120C/YGL171W/YGR103W/YGR118W/YGR128C/YGR145W/YGR214W/YGR251W/YHL015W/YHR021C/YIL019W/YIL069C/YJL010C/YJL109C/YJL136C/YJL191W/YKL078W/YKL099C/YKL156W/YKR057W/YLR048W/YLR129W/YLR167W/YLR186W/YLR264W/YLR441C/YML026C/YML063W/YML093W/YMR128W/YMR143W/YMR229C/YMR290C/YNL132W/YNL308C/YNR054C/YOL022C/YOR004W/YOR056C/YOR167C/YOR310C/YPL012W/YPL090C/YPL126W/YPL217C/YPL266W/YPR112C/YPR132W	68
GO:0042255	GO:0042255	ribosome assembly	52/1314	80/6424	4.37532578545298e-18	1.18871831462806e-15	1.05140418502232e-15	YBR048W/YCR031C/YCR057C/YDR025W/YDR060W/YDR418W/YDR447C/YEL054C/YEL055C/YER131W/YGL031C/YGL099W/YGL189C/YGR085C/YGR148C/YGR214W/YHR021C/YHR197W/YIL148W/YIR026C/YJL191W/YJR123W/YKL156W/YKR081C/YKR094C/YLL008W/YLR048W/YLR075W/YLR106C/YLR167W/YLR221C/YLR264W/YLR340W/YLR448W/YML024W/YML073C/YMR229C/YMR230W/YNL302C/YNR054C/YOL040C/YOL077C/YOL121C/YOL127W/YOR063W/YOR167C/YOR293W/YPL131W/YPL211W/YPR016C/YPR102C/YPR112C	52
GO:0006364	GO:0006364	rRNA processing	143/1314	360/6424	4.94122814869145e-18	1.18871831462806e-15	1.05140418502232e-15	YAL033W/YBL004W/YBL018C/YBL072C/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YCR087C-A/YDL014W/YDL031W/YDL060W/YDL083C/YDL136W/YDL148C/YDL153C/YDL191W/YDL208W/YDL213C/YDL229W/YDR025W/YDR064W/YDR083W/YDR087C/YDR091C/YDR412W/YDR450W/YDR500C/YEL026W/YEL055C/YER006W/YER074W/YER102W/YER131W/YFR001W/YGL029W/YGL030W/YGL076C/YGL078C/YGL120C/YGL123W/YGL135W/YGL171W/YGL189C/YGR103W/YGR118W/YGR128C/YGR145W/YGR158C/YGR214W/YGR251W/YGR280C/YGR285C/YHL015W/YHL033C/YHR021C/YHR062C/YHR064C/YHR072W-A/YHR081W/YHR087W/YHR088W/YHR089C/YHR197W/YIL019W/YIL069C/YIL096C/YJL010C/YJL033W/YJL050W/YJL109C/YJL136C/YJL177W/YJL191W/YJR041C/YKL014C/YKL078W/YKL099C/YKL156W/YKL172W/YKL180W/YKR057W/YKR081C/YLL008W/YLL045C/YLR002C/YLR048W/YLR106C/YLR129W/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR264W/YLR276C/YLR293C/YLR409C/YLR441C/YML026C/YML063W/YML093W/YMR049C/YMR128W/YMR143W/YMR229C/YMR290C/YNL002C/YNL061W/YNL075W/YNL096C/YNL132W/YNL209W/YNL308C/YNR054C/YOL022C/YOL077C/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR167C/YOR243C/YOR272W/YOR310C/YPL012W/YPL043W/YPL082C/YPL090C/YPL126W/YPL198W/YPL211W/YPL217C/YPL220W/YPL266W/YPR016C/YPR112C/YPR132W	143
GO:0000462	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	63/1314	109/6424	7.41133468399481e-18	1.56008595098091e-15	1.37987349708588e-15	YBL004W/YBL072C/YBR048W/YBR181C/YBR189W/YCL059C/YCR031C/YCR047C/YCR057C/YDL060W/YDL083C/YDL148C/YDL153C/YDR025W/YDR064W/YDR450W/YEL026W/YER074W/YER102W/YFR001W/YGL120C/YGL171W/YGR103W/YGR118W/YGR128C/YGR145W/YGR214W/YGR251W/YHL015W/YHR021C/YIL019W/YIL069C/YJL010C/YJL109C/YJL136C/YJL191W/YKL078W/YKL099C/YKL156W/YKR057W/YLR048W/YLR129W/YLR186W/YLR441C/YML026C/YML063W/YML093W/YMR128W/YMR143W/YMR229C/YMR290C/YNL308C/YNR054C/YOR004W/YOR056C/YOR310C/YPL012W/YPL090C/YPL126W/YPL217C/YPL266W/YPR112C/YPR132W	63
GO:0016072	GO:0016072	rRNA metabolic process	155/1314	411/6424	5.26247176112201e-17	9.84666938414386e-15	8.70923689121363e-15	YAL033W/YBL004W/YBL018C/YBL072C/YBR010W/YBR048W/YBR170C/YBR181C/YBR189W/YCL001W-B/YCL059C/YCR031C/YCR047C/YCR057C/YCR087C-A/YDL014W/YDL031W/YDL060W/YDL083C/YDL126C/YDL136W/YDL148C/YDL153C/YDL191W/YDL208W/YDL213C/YDL229W/YDR025W/YDR064W/YDR083W/YDR087C/YDR091C/YDR412W/YDR450W/YDR500C/YEL026W/YEL055C/YER006W/YER074W/YER102W/YER131W/YFR001W/YGL029W/YGL030W/YGL076C/YGL078C/YGL120C/YGL123W/YGL135W/YGL171W/YGL189C/YGR048W/YGR103W/YGR118W/YGR128C/YGR145W/YGR158C/YGR214W/YGR251W/YGR280C/YGR285C/YHL015W/YHL033C/YHR021C/YHR062C/YHR064C/YHR072W-A/YHR081W/YHR087W/YHR088W/YHR089C/YHR197W/YIL019W/YIL069C/YIL096C/YJL010C/YJL033W/YJL050W/YJL109C/YJL136C/YJL148W/YJL177W/YJL191W/YJR041C/YJR063W/YKL014C/YKL078W/YKL099C/YKL156W/YKL172W/YKL180W/YKR057W/YKR081C/YLL008W/YLL045C/YLR002C/YLR048W/YLR106C/YLR129W/YLR167W/YLR175W/YLR185W/YLR186W/YLR196W/YLR197W/YLR264W/YLR276C/YLR293C/YLR409C/YLR441C/YML026C/YML063W/YML093W/YMR049C/YMR128W/YMR143W/YMR229C/YMR290C/YNL002C/YNL061W/YNL075W/YNL096C/YNL132W/YNL209W/YNL248C/YNL308C/YNR054C/YOL022C/YOL077C/YOR001W/YOR004W/YOR056C/YOR063W/YOR096W/YOR167C/YOR243C/YOR272W/YOR295W/YOR310C/YOR340C/YOR341W/YPL012W/YPL043W/YPL082C/YPL090C/YPL126W/YPL198W/YPL211W/YPL217C/YPL220W/YPL266W/YPR010C/YPR016C/YPR112C/YPR132W	155
GO:0019752	GO:0019752	carboxylic acid metabolic process	147/1314	411/6424	6.68331600049929e-14	1.12547041448408e-11	9.95462330600683e-12	YAL054C/YAL062W/YBL039C/YBL076C/YBL098W/YBR006W/YBR026C/YBR053C/YBR084W/YBR121C/YBR249C/YBR263W/YCL030C/YCL040W/YCL064C/YCR005C/YCR034W/YCR053W/YDL021W/YDL171C/YDR023W/YDR037W/YDR111C/YDR158W/YDR234W/YDR272W/YDR300C/YDR321W/YDR341C/YDR380W/YDR502C/YDR516C/YDR533C/YEL009C/YEL071W/YER024W/YER055C/YER073W/YER086W/YER091C/YFL022C/YFL030W/YFR053C/YFR055W/YGL009C/YGL010W/YGL055W/YGL062W/YGL148W/YGL184C/YGL202W/YGL205W/YGL245W/YGL253W/YGR019W/YGR061C/YGR087C/YGR094W/YGR124W/YGR155W/YGR254W/YGR256W/YGR264C/YGR286C/YHR019C/YHR020W/YHR025W/YHR112C/YHR137W/YHR208W/YIL078W/YIL094C/YIL101C/YIL160C/YJL052W/YJL088W/YJL130C/YJL200C/YJR016C/YJR078W/YJR148W/YKL015W/YKL029C/YKL085W/YKL182W/YKL218C/YKR009C/YLL062C/YLR058C/YLR142W/YLR153C/YLR180W/YLR345W/YLR355C/YLR372W/YLR438W/YML004C/YML042W/YML054C/YMR020W/YMR095C/YMR108W/YMR110C/YMR169C/YMR170C/YMR217W/YMR246W/YMR250W/YMR300C/YMR303C/YMR322C/YMR323W/YNL009W/YNL117W/YNL202W/YNL247W/YNL274C/YNR001C/YNR016C/YOL052C/YOL058W/YOL097C/YOL126C/YOR040W/YOR100C/YOR108W/YOR184W/YOR221C/YOR236W/YOR317W/YOR335C/YOR347C/YOR374W/YOR375C/YOR388C/YOR391C/YOR393W/YPL160W/YPL231W/YPL273W/YPL280W/YPR001W/YPR002W/YPR033C/YPR069C/YPR081C/YPR118W	147
